"LANGUAGE","正體中文"
"ZMD_NAME","區域分配調節器 (Zoning Adjuster)"
"ZMD_DESC","允許對8米和24米寬的道路進行區域分配，以與標準寬度的道路對齊並增加了抵消沿道路區域分配的開始位置功能。"
"ZMD_PNL_DIS","禁用區域分配"
"ZMD_PNL_FOR","強制區域分配"
"ZMD_PNL_DIS_TIP","在建造道路時禁用所有區域分配網格 (仍然可以使用區域分配調節器工具添加區域分配)"
"ZMD_PNL_POZ","先建道路優先權"
"ZMD_PNL_POZ_TIP","使用此選項後，新道路的區域分配將不會覆蓋現有先建造道路的區域分配格子"
"ZMD_PNL_PNZ","後建道路優先權"
"ZMD_PNL_PNZ_TIP","使用此選項後，新道路的區域分配將會覆蓋現有先建造道路的區域分配格子"
"ZMD_PNL_PVZ","無優先權"
"ZMD_PNL_PVZ_TIP","遊戲預設行為"
"ZMD_PNL_SBK","分區填補"
"ZMD_PNL_SBK_TIP","在道路邊緣和區域分配網格之間添加間隙"
"ZMD_PNL_DEP","區域分配深度"
"ZMD_PNL_DEP_TIP","設置單元格中區域分配網格最大深度(遠離道路距離)"
"ZMD_OPT_KEY","編輯鍵位"
"ZMD_OPT_ZOK","編輯區域分配偏移鍵位"
"ZMD_OPT_SHO","面板可見度選項"
"ZMD_OPT_SOR","道路選單打開時自動顯示區域分配設置面板"
"ZMD_OPT_SPB","顯示傳統面板按鈕"
"ZMD_OPT_POS","面板和按鈕位置"
"ZMD_OPT_RPP","重置面板位置"
"ZMD_OPT_RBP","重置按鈕位置"
"ZMD_SHIFT","Shift"
"ZMD_CTRL","Ctrl"
"ZMD_ALT","Alt"
"KEY_KEY","區域分配工具快鍵"
"ZMD_ERR_CON1","這些模組(Mod)必須退訂才能讓 “區域分配調節器 (Zoning Adjuster)” 模組(Mod)正常運轉。"
"ZMD_100_0","對於任何道路添加、重置、移除的新區域分配工具"
"ZMD_100_1","區域分配工具選項：來自道路的動態區域分配間隙"
"ZMD_100_2","區域分配工具： 根據道路的建造時間區分區域分配優先級(因此，對新道路進行區域分配不會破壞覆蓋現有先建造道路的區域分配格子)"
"ZMD_102_0","添加 “新道路優先權”選項"
"ZMD_110_0","每個新建的區域分配格會記住其創建時所使用的優先權設置，並且無論之後如何更改優先權設置，都將保留建造時的優先權"
"ZMD_110_1","提示1：這僅僅只應用於新建區域分配格"
"ZMD_110_2","提示1：衝突設置(例如， 較新道路優先權選擇了較舊的設置，而較舊的道路優先權選擇了較新的設置）將導致結果不一致"
"ZMD_111_0","模組(Mod)按鈕現在可以移動(點擊然後拖動移動)"
"ZMD_111_1","當退出遊戲時自動存儲面板和按鈕的位置"
"ZMD_120_0","當道路選單可見時，預設添加選項以顯示或隱藏設置面板"
"ZMD_120_1","添加 “禁用區域分配” 選項以禁用所有自動區域分配網格 (仍然可以使用區域分配調節器工具添加區域分配)"
"ZMD_120_2","添加 “強制區域分配” 選項以當施工時區域分配添加到未啟用區域分配的道路(例如高速公路)"
"ZMD_120_3","添加選項以切換單側區域分配 (使用區域分配調節器工具單擊時按住 Alt 鍵)"
"ZMD_120_4","允許負區域分配平移 (將區域分配向道路近移)"
"ZMD_120_5","添加區域分配快鍵（預設 Alt-Z）"
"ZMD_130_0","添加可調區域分配深度"
"ZMD_140_0","添加選項以禁用面板按鈕 (Unified UI 按鈕始終可用)"
"ZMD_155_0","舆遊戲版本1.15相容 (Plazas & Promenades)"
"ZMD_160_0","主要變更：將分區設定直接添加至道路段落(通過最近的遊戲更新實現)"
"ZMD_160_1","當其中的一條道路具有優先順序設定而另一條道路沒有優先順序設定時，改進道路之間重疊分區的處理"
